gh_project_name,team,lang,sloc,tests_per_kloc,build_success
datastax/java-driver,18,java,33140,37.5579645610048,0.8014440433212996
datastax/ruby-driver,13,ruby,19940,138.602251407129,0.5405232929164008
davetron5000/gli,7,ruby,3148,79.8696006519967,0.6598540145985401
davetron5000/methadone,5,ruby,957,11.2359550561798,0.6531850353892821
davidcelis/api-pagination,6,ruby,293,324.324324324324,0.9375
davidcelis/recommendable,3,ruby,893,123.947051744886,0.635036496350365
davidmoten/rxjava-jdbc,3,java,4690,59.6606458675424,0.965
dblock/rspec-rerun,5,ruby,175,246.575342465753,0.8682634730538922
dblock/waffle,7,java,6324,44.9127655899119,0.8393030009680542
ddollar/foreman,15,ruby,1017,110.644257703081,0.802948402948403
deeplearning4j/deeplearning4j,16,java,94128,9.54513508654365,0.09638122536725188
defunkt/fakefs,11,ruby,2099,203.296703296703,0.7345238095238096
dejan/auto_html,2,ruby,423,289.855072463768,0.6231884057971014
dejan/rails_panel,5,ruby,351,42.3728813559322,0.8656716417910447
denniskuczynski/beanstalkd_view,4,ruby,435,40.8163265306122,0.8384615384615385
devnied/EMV-NFC-Paycard-Enrollment,2,java,5649,12.9893238434164,0.8995983935742972
dianping/cat,13,javascript,77578,8.51740513222673,0.7458100558659218
diaspora/diaspora,45,ruby,20524,94.1932450434919,0.37552378604880454
dinosaurwithakatana/hacker-news-android,4,java,4975,0.331345261762757,0.3050847457627119
diowa/icare,2,ruby,2380,76.7441860465116,0.9200626959247649
discourse/onebox,12,ruby,3490,184.615384615385,0.764797507788162
dita-ot/dita-ot,8,java,27664,16.9978752655918,0.8899138991389914
dkubb/adamantium,6,ruby,185,348.148148148148,0.6808785529715762
dkubb/axiom,5,ruby,3414,151.060070671378,0.6058890147225368
dkubb/equalizer,7,ruby,55,333.333333333333,0.7087126137841352
dkubb/ice_nine,5,ruby,241,546.875,0.618895966029724
dkubb/memoizable,4,ruby,168,221.556886227545,0.6918990703851262
dkubb/veritas,2,ruby,3221,146.178343949045,0.6476190476190476
dmarcotte/github-markdown-preview,3,ruby,197,197.969543147208,0.8007312614259597
doanduyhai/Achilles,6,java,20167,102.916064626297,0.9209535759096612
dockyard/party_foul,5,ruby,406,128.07881773399,0.7385892116182573
doorkeeper-gem/doorkeeper,14,ruby,4720,99.6168582375479,0.8394278973754055
DozerMapper/dozer,5,java,15756,49.1876110687992,0.7287581699346405
dradis/dradisframework,4,ruby,17733,7.82279314888011,0.25
drapergem/draper,13,ruby,908,418.816388467375,0.6592770121829439
drbrain/net-http-persistent,3,ruby,720,221.774193548387,0.7015706806282722
dreamhead/moco,5,java,9914,53.1434525877041,0.5892667375132837
drecom/activerecord-turntable,2,ruby,2911,30.7567786321327,0.8757592490336831
drewnoakes/metadata-extractor,5,java,21400,8.95487215741723,0.9714285714285714
dropwizard/dropwizard,39,java,17247,65.4606598248971,0.9184966216216216
dropwizard/metrics,16,java,9786,51.4653323802716,0.887308533916849
drrb/puppet-library,2,ruby,1584,121.609798775153,0.8013793103448276
druid-io/druid,26,java,148082,17.7813029527346,0.8711819389110226
DSpace/DSpace,39,java,219122,3.55778099881407,0.9117647058823529
dynjs/dynjs,11,java,34562,35.0140644023679,0.8716632443531828
eapache/starscope,2,ruby,1040,65.625,0.8314285714285714
eclipse/jetty.project,6,java,134421,16.8111618656972,0.031578947368421054
edelight/chef-mongodb,8,ruby,1069,10.4493207941484,0.9280575539568345
egonSchiele/contracts.ruby,11,ruby,1627,147.996729354047,0.878987898789879
eirslett/frontend-maven-plugin,5,java,1868,4.04858299595142,0.7486772486772487
ejholmes/metaforce,2,ruby,1666,7.37100737100737,0.8342245989304813
elabs/pundit,12,ruby,403,202.564102564103,0.8367080339647289
elastic/logstash,36,ruby,18169,67.4915635545557,0.7454545454545455
elcuervo/airplay,2,ruby,1249,22.4089635854342,0.35064935064935066
elm-city-craftworks/practicing-ruby-web,5,ruby,2436,2.59515570934256,0.769041769041769
emberjs/ember-rails,8,ruby,710,7.5046904315197,0.8294181423924828
embulk/embulk,7,java,13862,11.2945264986968,0.9215686274509803
emilsjolander/sprinkles,1,java,1828,12.6373626373626,0.15
EmmanuelOga/ffaker,9,ruby,6644,134.421134421134,0.33668341708542715
encrypt-to/encrypt.to,3,ruby,597,72.1476510067114,0.8382352941176471
engineyard/engineyard,18,ruby,4929,101.413644744929,0.5124077800134138
engineyard/engineyard-serverside,21,ruby,16145,24.380050153246,0.8632846087704213
engineyard/ey-cloud-recipes,22,ruby,4926,4.40917107583774,0.9162393162393162
englishtown/vertx-jersey,3,java,2275,49.6894409937888,0.7961165048543689
enspiral/loomio,13,ruby,7392,115.417992479028,0.46632124352331605
eric/metriks,4,ruby,1336,41.7322834645669,0.628099173553719
ericam/susy,8,ruby,66,0,0.9240837696335078
erikhuda/thor,8,ruby,3135,221.169552433845,0.7342342342342343
errbit/errbit,15,ruby,3762,142.530487804878,0.8807166430928807
escapestudios-cookbooks/newrelic,5,ruby,1372,76.6073871409029,0.6280788177339901
Esri/geometry-api-java,9,java,57497,7.26212466949183,0.9852507374631269
essentials/Essentials,17,java,55330,0.28507748924480403,0.8685220729366603
eval/envied,2,ruby,412,118.110236220472,1
eventmachine/eventmachine,9,ruby,5234,57.3389864728447,0.4471830985915493
everzet/capifony,7,ruby,1707,31.6151202749141,0.9656862745098039
evolve75/RubyTree,2,ruby,1844,58.0260303687636,0.660904255319149
excilys/androidannotations,12,java,23342,19.4834847024202,0.8880208333333334
excon/excon,8,ruby,2766,2.53073029645698,0.7334630350194552
eXist-db/exist,19,java,355836,6.68703712534435,0.7882063882063882
expertiza/expertiza,14,ruby,30773,27.0322907334554,0.4071789119461582
express42/zabbixapi,5,ruby,1581,98.9690721649484,0.5432525951557093
exteso/alf.io,5,java,14993,9.14980297869498,0.9187956204379562
fabiomaffioletti/jsondoc,3,java,3841,14.3191877115335,0.9893842887473461
facebook/buck,55,java,235341,20.9309074896922,0.3818297331639136
facebook/presto,37,java,178895,12.9460400348129,0.4862981885740827
facebook/rebound,5,java,4027,22.4913494809689,0.8155339805825242
FasterXML/jackson-annotations,3,java,1471,0,0.9198606271777003
FasterXML/jackson-core,4,java,21451,0.759013282732448,0.94109396914446
FasterXML/jackson-databind,7,java,56265,0.408867082644481,0.7181497451979616
fastestforward/heroku_san,5,ruby,945,76.3968072976055,0.6862068965517242
fastlane/spaceship,16,ruby,3850,115.846994535519,0.7435141509433962
fatfreecrm/fat_free_crm,10,ruby,9072,144.265622734522,0.4940027894002789
faye/faye-websocket-ruby,4,ruby,1269,39.4973070017953,0.6613439787092482
fazibear/colorize,2,ruby,167,314.814814814815,0.9588477366255144
feedbin/feedbin,4,ruby,9673,5.35455861070912,0.6750871080139372
felipecsl/wombat,2,ruby,567,176.678445229682,0.9219219219219219
FenixEdu/fenixedu-academic,20,java,614186,0.241578980138223,0.9693661971830986
fernandezpablo85/scribe-java,4,java,2822,38.9072847682119,0.954954954954955
fgrehm/vagrant-lxc,10,ruby,1791,54.928517682468,0.9430379746835443
fgrehm/ventriloquist,2,ruby,1258,19.1570881226054,0.9618320610687023
Findwise/Hydra,9,java,15262,28.5314312379175,0.8688524590163934
flavorjones/loofah,3,ruby,752,156.914893617021,0.6521739130434783
floere/phony,13,ruby,11434,12.5178826895565,0.890960809102402
flood-io/ruby-jmeter,4,ruby,6269,20.9952058191437,0.6648648648648648
flori/json,5,java,3420,0,0.5384615384615384
fluent/fluent-logger-ruby,8,ruby,430,37.2093023255814,0.6839622641509434
fluent/fluent-plugin-s3,8,ruby,832,107.784431137725,0.7171717171717171
fluent/fluentd,17,ruby,15914,40.1079136690648,0.9040561622464899
flyerhzm/bullet,10,ruby,2262,207.715133531157,0.7214710654407788
fnando/browser,5,ruby,1678,185.185185185185,0.9070373588184187
fog/fog,98,ruby,171638,1.40789100198694,0.5748432871805469
